movieid,moviename,year,genres
603,Fargo,1996,Comedy|Crime|Drama|Thriller
605,"Heavy Metal",1981,Action|Adventure|Animation|Horror|Sci-Fi
606,"Hellraiser: Bloodline",1996,Action|Horror|Sci-Fi
622,"Primal Fear",1996,Crime|Drama|Thriller
624,"Carried Away",1996,Drama|Romance
625,"All Dogs Go to Heaven 2",1996,Animation|Children|Musical
630,Frisk,1995,Drama
631,"Sgt. Bilko",1996,Comedy
633,"Girl 6",1996,Comedy|Drama
634,Diabolique,1996,Drama|Thriller
638,"Happy Weekend",1996,Comedy
639,"Nelly & Monsieur Arnaud",1995,Drama
640,"Courage Under Fire",1996,Drama|War
641,"Mission: Impossible",1996,Action|Adventure|Mystery|Thriller
643,"Moll Flanders",1996,Drama
646,Dragonheart,1996,Action|Adventure|Fantasy
654,"James and the Giant Peach",1996,Animation|Children|Fantasy|Musical
656,"Kids in the Hall: Brain Candy",1996,Comedy
658,Underground,1995,Comedy|Drama|War
661,"Pather Panchali",1955,Drama
663,"Mystery Science Theater 3000: The Movie",1996,Comedy|Sci-Fi
665,"Space Jam",1996,Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi
666,Barbarella,1968,Adventure|Sci-Fi
676,"It's My Party",1996,Drama
678,"Operation Dumbo Drop",1995,Action|Adventure|Comedy|War
680,"Mrs. Winterbourne",1996,Comedy|Romance
681,Solo,1996,Action|Sci-Fi|Thriller
685,"Butterfly Kiss",1995,Drama|Thriller
686,"Feeling Minnesota",1996,Drama|Romance
687,"Delta of Venus",1995,Drama
689,Angus,1995,Comedy
694,Cosi,1996,Comedy
696,"Mulholland Falls",1996,Crime|Drama|Thriller
698,"Oliver & Company",1988,Adventure|Animation|Children|Comedy|Musical
700,Flipper,1996,Adventure|Children
703,"Dead Man",1995,Drama|Mystery|Western
708,Multiplicity,1996,Comedy
718,"Institute Benjamenta, or This Dream People Call Human Life",1995,Drama
720,"Heaven's Prisoners",1996,Crime|Thriller
725,Twister,1996,Action|Adventure|Romance|Thriller
726,"Barb Wire",1996,Action|Sci-Fi
730,Thinner,1996,Horror|Thriller
731,"Spy Hard",1996,Comedy
734,"Force of Evil",1948,Film-Noir
738,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",1964,Comedy|War
739,Careful,1992,Comedy|Horror
748,Stalingrad,1993,Drama|War
750,Striptease,1996,Comedy|Crime
752,Heavy,1995,Drama|Romance
754,"I Shot Andy Warhol",1996,Drama
766,Trainspotting,1996,Comedy|Crime|Drama
769,"Stealing Beauty",1996,Drama
773,Kingpin,1996,Comedy
774,Eraser,1996,Action|Drama|Thriller
786,Daylight,1996,Action|Adventure|Drama|Thriller
788,"Lone Star",1996,Drama
789,"Harriet the Spy",1996,Children|Comedy
790,Phenomenon,1996,Drama|Romance
791,"Walking and Talking",1996,Comedy|Drama|Romance
792,"She's the One",1996,Comedy|Romance
797,Fled,1996,Action|Adventure
798,Kazaam,1996,Children|Comedy|Fantasy
815,"Joe's Apartment",1996,Comedy|Fantasy|Musical
817,Stonewall,1995,Drama
818,Ransom,1996,Action|Crime|Drama|Thriller
819,"High School High",1996,Comedy
821,Foxfire,1996,Drama
823,Matilda,1996,Children|Comedy|Fantasy
824,Emma,1996,Comedy|Drama|Romance
828,"Bordello of Blood",1996,Comedy|Horror
835,"Escape from L.A.",1996,Action|Adventure|Sci-Fi|Thriller
838,"Tin Cup",1996,Comedy|Drama|Romance
852,Carpool,1996,Comedy|Crime
854,"Kansas City",1996,Crime
869,Bogus,1996,Children|Drama|Fantasy
875,"Halloween: The Curse of Michael Myers",1995,Horror|Thriller
877,"Mother Night",1996,Drama
881,"For Whom the Bell Tolls",1943,Adventure|Drama|Romance|War
883,"Singin' in the Rain",1952,Comedy|Musical|Romance
885,"Funny Face",1957,Comedy|Musical
886,"Breakfast at Tiffany's",1961,Drama|Romance
887,Vertigo,1958,Drama|Mystery|Romance|Thriller
888,"Rear Window",1954,Mystery|Thriller
889,"It Happened One Night",1934,Comedy|Romance
890,Gaslight,1944,Drama|Thriller
892,"North by Northwest",1959,Adventure|Mystery|Thriller
894,"Some Like It Hot",1959,Comedy|Crime
895,Charade,1963,Comedy|Crime|Mystery|Romance|Thriller
896,Casablanca,1942,Drama|Romance
898,"My Fair Lady",1964,Comedy|Drama|Musical|Romance
899,Sabrina,1954,Comedy|Romance
900,"Roman Holiday",1953,Comedy|Romance
902,"Meet Me in St. Louis",1944,Musical
904,"Gone with the Wind",1939,Drama|Romance|War
905,"My Favorite Year",1982,Comedy
907,"Citizen Kane",1941,Drama|Mystery
908,"2001: A Space Odyssey",1968,Adventure|Sci-Fi
910,"All About Eve",1950,Drama
912,Rebecca,1940,Drama|Mystery|Romance|Thriller
913,"Foreign Correspondent",1940,Drama|Film-Noir|Mystery|Thriller
914,Notorious,1946,Film-Noir|Romance|Thriller
915,Spellbound,1945,Mystery|Romance|Thriller
917,"To Catch a Thief",1955,Crime|Mystery|Romance|Thriller
918,"Father of the Bride",1950,Comedy
920,Ninotchka,1939,Comedy|Romance
921,"Love in the Afternoon",1957,Comedy|Romance
922,Gigi,1958,Musical
926,Laura,1944,Crime|Film-Noir|Mystery
928,"Lost Horizon",1937,Drama
929,"Top Hat",1935,Comedy|Musical|Romance
930,"To Be or Not to Be",1942,Comedy|Drama|War
931,"My Man Godfrey",1936,Comedy
932,Giant,1956,Drama
933,"East of Eden",1955,Drama
935,"His Girl Friday",1940,Comedy|Romance
937,"It's a Wonderful Life",1946,Drama|Fantasy|Romance
938,"Mr. Smith Goes to Washington",1939,Drama
939,"Bringing Up Baby",1938,Comedy
940,"Penny Serenade",1941,Drama|Romance
943,"Of Human Bondage",1934,Drama
948,"Angel and the Badman",1947,Romance|Western
952,"Night of the Living Dead",1968,Horror|Sci-Fi|Thriller
954,"Beat the Devil",1953,Adventure|Comedy|Crime|Drama|Romance
955,"Cat on a Hot Tin Roof",1958,Drama
957,"Meet John Doe",1941,Comedy|Drama
958,Algiers,1938,Drama|Romance
966,"Madagascar Skin",1995,Romance
969,"Fly Away Home",1996,Adventure|Children
973,"Maximum Risk",1996,Action|Adventure|Thriller
974,"Michael Collins",1996,Drama
976,Infinity,1996,Drama
977,"Big Night",1996,Comedy|Drama
978,"Last Man Standing",1996,Action|Crime|Drama|Thriller
981,"2 Days in the Valley",1996,Crime|Film-Noir
985,"Extreme Measures",1996,Drama|Thriller
987,"D3: The Mighty Ducks",1996,Children|Comedy
991,"Escape to Witch Mountain",1975,Adventure|Children|Fantasy
993,"Herbie Rides Again",1974,Adventure|Children|Comedy
994,"Old Yeller",1957,Children|Drama
996,Pollyanna,1960,Children|Comedy|Drama
997,"Homeward Bound: The Incredible Journey",1993,Adventure|Children|Drama
999,"Swiss Family Robinson",1960,Adventure|Children
1000,"That Darn Cat!",1965,Children|Comedy|Mystery
1002,"Cool Runnings",1993,Comedy
1003,"Angels in the Outfield",1994,Children|Comedy
1004,Cinderella,1950,Animation|Children|Fantasy|Musical|Romance
1005,"Winnie the Pooh and the Blustery Day",1968,Animation|Children|Musical
1009,"Robin Hood: Prince of Thieves",1991,Adventure|Drama
1010,"Mary Poppins",1964,Children|Comedy|Fantasy|Musical
1012,"Pete's Dragon",1977,Adventure|Animation|Children|Musical
1013,"Bedknobs and Broomsticks",1971,Adventure|Children|Musical
1014,"Alice in Wonderland",1951,Adventure|Animation|Children|Musical
1016,Freeway,1996,Comedy|Crime|Drama|Thriller
1018,"Die Hard",1988,Action|Crime|Thriller
1020,"Unhook the Stars",1996,Drama
1023,"Secrets & Lies",1996,Drama
1024,"That Thing You Do!",1996,Comedy|Drama
1025,"To Gillian on Her 37th Birthday",1996,Drama|Romance
1026,"Surviving Picasso",1996,Drama
1028,"Beautiful Thing",1996,Drama|Romance
1031,"Looking for Richard",1996,Documentary|Drama
1032,"Trees Lounge",1996,Drama
1034,"Normal Life",1996,Crime|Drama|Romance
1035,"Get on the Bus",1996,Drama
1037,Jude,1996,Drama
1038,"Everyone Says I Love You",1996,Comedy|Musical|Romance
1041,Swingers,1996,Comedy|Drama
1042,Sleepers,1996,Thriller
1047,"Shall We Dance",1937,Comedy|Musical|Romance
1049,Crossfire,1947,Crime|Film-Noir
1050,"Murder, My Sweet",1944,Film-Noir|Thriller
1053,"Willy Wonka & the Chocolate Factory",1971,Children|Comedy|Fantasy|Musical
1057,Bananas,1971,Comedy|War
1063,"Bonnie and Clyde",1967,Crime|Drama
1065,"Dial M for Murder",1954,Mystery|Thriller
1067,"Dirty Dancing",1987,Drama|Musical|Romance
1068,"Reservoir Dogs",1992,Crime|Drama|Thriller
1069,Platoon,1986,Drama|War
1070,"Weekend at Bernie's",1989,Comedy
1071,"Basic Instinct",1992,Mystery|Thriller
1074,"Glengarry Glen Ross",1992,Drama
1075,"Sophie's Choice",1982,Drama
1076,"E.T. the Extra-Terrestrial",1982,Children|Drama|Sci-Fi
1079,"Days of Thunder",1990,Action|Drama|Romance
1080,"Top Gun",1986,Action|Romance
1082,"Rebel Without a Cause",1955,Drama
1102,"On Golden Pond",1981,Drama
1104,"Drop Dead Fred",1991,Comedy|Fantasy
1107,"Escape from New York",1981,Action|Adventure|Sci-Fi|Thriller
1109,"Jean de Florette",1986,Drama
1111,"Talking About Sex",1994,Comedy|Drama
1113,"Private Benjamin",1980,Comedy
1114,"Monty Python and the Holy Grail",1975,Comedy
1118,"Entertaining Angels: The Dorothy Day Story",1996,Drama
1125,"When We Were Kings",1996,Documentary
1131,"Raw Deal",1948,Film-Noir
1145,"Dear God",1996,Comedy
1146,"Bad Moon",1996,Action|Adventure|Horror
1149,"Bob Roberts",1992,Comedy
1153,Delicatessen,1991,Comedy|Drama|Romance
1156,"Paths of Glory",1957,Drama|War
1158,"Hear My Song",1991,Comedy
1161,Mediterraneo,1991,Comedy|Drama|War
1163,"Sex, Lies, and Videotape",1989,Drama
1164,"Passion Fish",1992,Drama
1165,"Strictly Ballroom",1992,Comedy|Romance
1168,"Madonna: Truth or Dare",1991,Documentary|Musical
1169,"Paris Is Burning",1990,Documentary
1170,"One Flew Over the Cuckoo's Nest",1975,Comedy|Drama
1172,"Star Wars: Episode V - The Empire Strikes Back",1980,Action|Adventure|Sci-Fi
1178,"Withnail & I",1987,Comedy
1179,"12 Angry Men",1957,Drama
1180,"Lawrence of Arabia",1962,Adventure|Drama|War
1182,"To Kill a Mockingbird",1962,Drama
1183,"Apocalypse Now",1979,Action|Drama|War
1185,"Star Wars: Episode VI - Return of the Jedi",1983,Action|Adventure|Sci-Fi
1188,Goodfellas,1990,Crime|Drama
1192,Ran,1985,Drama|War
1194,Psycho,1960,Horror|Thriller
1197,"Full Metal Jacket",1987,Drama|War
1199,"Henry V",1989,Drama|War
1200,Amadeus,1984,Drama
1202,"Once Upon a Time in America",1984,Crime|Drama|Thriller
1203,"Raging Bull",1980,Drama
1204,"Annie Hall",1977,Comedy|Romance
1206,Stalker,1979,Drama|Mystery|Sci-Fi
1209,"Harold and Maude",1971,Comedy|Drama|Romance
1210,Trust,1990,Comedy|Drama|Romance
1212,"Local Hero",1983,Comedy
1215,Glory,1989,Action|Drama|War
1217,Manhattan,1979,Comedy|Drama|Romance
1218,"Miller's Crossing",1990,Crime|Drama|Film-Noir|Thriller
1219,"Dead Poets Society",1989,Drama
1221,"Touch of Evil",1958,Crime|Film-Noir|Thriller
1225,Chinatown,1974,Crime|Film-Noir|Mystery|Thriller
1228,"Bad Taste",1987,Comedy|Horror|Sci-Fi
1229,"Duck Soup",1933,Comedy|Musical
1230,"Better Off Dead...",1985,Comedy|Romance
1232,"Stand by Me",1986,Adventure|Comedy|Drama
1237,Diva,1981,Action|Drama|Mystery|Romance|Thriller
1238,"Groundhog Day",1993,Comedy|Fantasy|Romance
1239,Unforgiven,1992,Drama|Western
1241,"Pump Up the Volume",1990,Comedy|Drama
1242,"Arsenic and Old Lace",1944,Comedy|Mystery|Thriller
1243,"Back to the Future",1985,Adventure|Comedy|Sci-Fi
1244,"Fried Green Tomatoes",1991,Drama
1245,Patton,1970,Drama|War
1246,"Down by Law",1986,Comedy|Drama
1247,Akira,1988,Action|Adventure|Animation|Sci-Fi
1248,Highlander,1986,Action|Adventure|Fantasy
1249,"Cool Hand Luke",1967,Drama
1250,"Cyrano de Bergerac",1990,Action|Drama|Romance
1251,"Young Frankenstein",1974,Action|Comedy|Horror
1252,"Night on Earth",1991,Comedy|Drama
1255,Fantasia,1940,Animation|Children|Fantasy|Musical
1256,"High Noon",1952,Western
1259,"Somewhere in Time",1980,Drama|Romance
1260,Ben-Hur,1959,Action|Adventure|Drama|Romance
1261,"This Is Spinal Tap",1984,Comedy|Musical
1263,"Some Kind of Wonderful",1987,Drama|Romance
1264,"Indiana Jones and the Last Crusade",1989,Action|Adventure
1265,"Being There",1979,Comedy|Drama
1266,Gandhi,1982,Drama
1269,"Real Genius",1985,Comedy
1273,"Forbidden Planet",1956,Drama|Sci-Fi
1274,"Field of Dreams",1989,Drama
1276,"Butch Cassidy and the Sundance Kid",1969,Action|Comedy|Western
1277,"Paris, Texas",1984,Drama|Romance
1279,"When Harry Met Sally...",1989,Comedy|Romance
1283,"Santa with Muscles",1996,Comedy
1295,"Amityville 3-D",1983,Horror
1303,"Audrey Rose",1977,Horror
1311,"Bride of Frankenstein",1935,Drama|Horror|Sci-Fi
1313,Candyman,1992,Horror|Thriller
1314,"Cape Fear",1991,Thriller
1315,"Cape Fear",1962,Thriller
1316,Carrie,1976,Drama|Fantasy|Horror|Thriller
1317,"Cat People",1982,Horror
1323,"Albino Alligator",1996,Crime|Thriller
1325,"Breaking the Waves",1996,Drama|Mystery
1327,"Star Trek: First Contact",1996,Action|Adventure|Sci-Fi|Thriller
1328,Shine,1996,Drama|Romance
1329,"Sling Blade",1996,Drama|Thriller
1330,"Jingle All the Way",1996,Adventure|Children|Comedy
1332,"Paradise Lost: The Child Murders at Robin Hood Hills",1996,Documentary
1335,Ridicule,1996,Drama
1337,"101 Dalmatians",1996,Adventure|Children|Comedy
