movieid,actorid,actor_movie_rank
517,1327789,2
517,1891343,3
517,3937362,4
518,1698048,1
518,2496641,2
518,3283242,3
518,1842603,4
519,487944,1
519,1818126,2
519,3380408,3
519,2057836,4
520,3169560,1
520,712503,2
520,1554289,3
520,2855191,4
521,99457,1
521,696069,2
521,166808,3
521,3289961,4
524,1639373,1
524,1197903,2
524,713208,3
524,3019925,4
526,1819168,1
526,1422874,2
526,2579770,3
526,1197903,4
529,3836531,1
529,2430010,2
529,3247521,3
529,1335137,4
531,701013,1
531,1465955,2
531,563475,3
531,2064681,4
532,3321940,1
532,530998,2
532,1313494,3
532,368193,4
535,2769513,1
535,2147136,2
535,2223796,3
535,1493948,4
536,925996,1
536,1411172,2
536,3919021,3
536,785368,4
537,3767161,2
537,129071,3
537,189892,4
537,3883612,4
538,737113,1
538,950824,2
538,3943267,3
538,1701547,4
539,2101847,1
539,3042390,2
539,2142929,3
539,3548148,4
540,1617740,1
540,3827321,2
540,1279246,3
540,3556290,4
541,2476829,1
541,3520350,2
541,690882,3
541,2126988,4
543,1019772,1
543,1309137,2
543,1015702,3
543,3362378,4
544,1049548,1
544,950824,2
544,630676,3
544,316652,4
545,2090271,1
545,3208889,2
545,783171,3
545,1484424,4
547,2699473,1
547,129026,2
547,392271,3
547,2607407,4
550,1983799,1
550,1190192,2
550,655754,3
550,1760831,4
551,3903819,1
551,98791,2
551,322458,3
551,1040887,4
552,2131839,1
552,2607410,2
552,1015702,3
552,1190192,4
555,3109149,1
555,1719321,2
555,669526,3
555,1321214,4
558,3361271,1
558,2845497,2
558,2717681,3
558,3866743,4
559,3410488,1
559,1899354,2
559,353884,3
559,3086582,4
561,1378232,1
561,1778373,2
561,282874,3
561,3133741,4
563,2961876,1
563,477465,2
563,2560466,3
563,364917,4
564,3872460,1
564,934278,2
564,3200459,3
564,1252448,4
564,2076143,4
570,525339,1
570,3466364,2
570,969778,3
570,3892549,4
581,493309,1
581,1782319,2
581,2191983,3
581,959400,4
583,2440710,1
583,2474536,2
583,3255997,3
583,755801,4
584,2055016,1
584,3058426,2
584,769128,3
584,1755068,4
585,470697,1
585,3375860,2
585,871597,3
585,863674,4
587,1164513,1
587,1654035,2
587,2642216,3
587,2505340,4
590,187634,1
590,467711,2
590,680354,3
590,3254257,4
592,809646,1
592,3619702,2
592,177908,3
592,37824,4
595,179180,1
595,3950799,2
595,434201,3
595,447786,4
600,3544742,1
600,431226,2
600,3907470,3
600,1342094,4
601,2295099,1
601,3641462,2
601,1684839,3
601,1675798,4
603,1395789,1
603,316365,2
603,2203799,3
603,3645128,4
605,748808,1
605,3695627,2
605,1954161,3
605,3630782,4
606,1872677,1
606,3856661,2
606,262752,3
606,2772799,4
622,809646,1
622,3292476,2
622,1403899,3
622,3927245,4
624,1015702,1
624,3133315,2
624,3297870,3
624,3068138,4
625,3465492,2
625,2090271,3
625,245880,3
625,337513,4
630,895025,1
630,401773,2
630,2199211,3
630,1681276,4
631,1444419,1
631,110606,2
631,944360,3
631,3078802,4
633,3589172,1
633,2427896,2
633,1305880,3
633,3283163,4
634,3767161,1
634,2564786,2
634,1733191,3
634,2643714,4
638,835435,1
638,1880740,2
638,2424369,3
638,3829231,4
639,2732883,1
639,2075598,2
639,71067,3
639,3452022,4
640,2427794,1
640,3650577,2
640,1794478,3
640,1585449,4
641,488824,1
641,2396369,2
641,2732883,3
641,501003,4
643,3930859,1
643,755967,2
643,2769513,3
643,1381503,4
646,1853425,1
646,2273306,2
646,1826685,3
646,3397626,4
654,334011,1
654,613386,2
654,3272098,3
654,3312838,4
656,733399,1
656,1482693,2
656,1484838,3
656,1495563,4
658,1421523,1
658,1923840,2
658,3161675,3
658,2198240,4
661,136231,1
661,2631988,2
661,2869877,3
661,2840085,4
663,167417,1
663,1642828,2
663,1412260,3
663,1610576,4
665,1123257,1
665,1212376,2
665,3589172,3
665,2428048,4
666,2959130,1
666,1290780,2
666,3512577,3
666,1687264,4
676,2780061,1
676,530998,2
676,3028278,3
676,893839,4
678,832213,1
678,1342347,2
678,1297720,3
678,605691,4
680,3324109,1
680,3247521,2
680,752528,3
680,2016014,4
681,2359559,1
681,461791,2
681,1995503,3
681,841640,4
685,3556290,1
685,3144411,2
685,3598379,2
685,1473984,4
686,1892087,1
686,2873867,2
686,504044,3
686,1339409,4
687,2920096,1
687,1417209,2
687,505231,3
687,3737567,4
689,76966,1
689,2643714,2
689,497966,3
689,451953,4
694,1514532,1
694,1718095,2
694,2798681,3
694,3036176,4
696,1666874,1
696,3035958,2
696,1733191,3
696,1398215,4
698,1291983,1
698,1102233,2
698,1430684,3
698,1604510,4
700,2495559,1
700,1003342,2
700,135770,3
700,546301,4
703,565786,1
703,691697,2
703,832211,2
703,971622,3
703,2483328,4
708,1164513,1
708,3321940,2
708,621116,3
708,3681273,4
718,1989321,1
718,3231723,2
718,1103895,3
718,2139135,4
720,128645,1
720,3316518,2
720,3360720,3
720,1931290,4
725,3121075,1
725,1760831,2
725,658918,3
725,3000691,4
726,6529,1
726,2575695,2
726,68743,3
726,2610394,4
730,310985,1
730,3151301,2
730,3277170,3
730,2486235,4
731,1656833,1
731,3708364,2
731,629063,3
731,3064225,4
734,792232,1
734,842113,2
734,3920059,3
734,384328,4
738,2069407,1
738,2058827,2
738,955119,3
738,2506955,4
739,1482725,1
739,2881538,2
739,3465837,3
739,1637920,4
748,1019316,1
748,1238561,2
748,1654493,3
748,1977527,4
750,3425734,1
750,1905837,2
750,98791,3
750,1907368,4
752,2389558,1
752,3921632,2
752,3838451,3
752,3069722,4
754,3799426,1
754,938845,2
754,3555929,3
754,229456,4
766,1490600,1
766,272274,2
766,1540498,3
766,1495109,4
769,377083,1
769,2828136,2
769,713207,3
769,726905,4
773,936871,1
773,1853434,2
773,2594515,3
773,1611742,4
774,2055016,1
774,325305,2
774,3915881,3
774,433627,4
786,2177848,1
786,2706311,2
786,1591436,3
786,961205,4
788,1515368,1
788,1276012,2
788,458558,3
788,3544397,4
789,3826054,1
789,2140818,2
789,2776612,3
789,3486441,4
790,2312401,1
790,3692092,2
790,2454190,3
790,631042,4
791,2704335,1
791,3607703,2
791,3191522,3
791,3079941,4
792,1403899,1
792,313166,2
792,1489275,3
792,2623697,4
797,720541,1
797,129026,2
797,1757016,3
797,310985,4
798,1685533,1
798,347208,2
798,3882622,3
798,9533,4
815,1681146,1
815,3888840,2
815,2448683,3
815,1030331,4
817,634663,1
817,2444021,2
817,461419,3
817,254926,4
818,817635,1
818,3649029,2
818,1666843,3
818,2123722,4
819,1366839,1
819,2752192,2
819,2955293,3
819,1792455,4
821,2728160,1
821,3161739,2
821,3283180,3
821,3710453,4
823,3918647,1
823,571873,2
823,3537882,3
823,2842409,4
824,3513972,1
824,468901,2
824,3676757,3
824,494272,4
828,1156077,1
828,1539205,2
828,2913614,3
828,2929928,4
835,1983799,1
835,316365,2
835,734371,3
835,1933207,4
838,470697,1
838,3649029,2
838,1107063,3
838,1430684,4
852,89972,1
852,1761111,2
852,3537882,3
852,2186951,4
854,3274062,1
854,3610472,2
854,174686,3
854,1610811,4
869,3014781,1
869,565494,2
869,1715194,3
869,3351973,4
875,1811872,1
875,1976748,2
875,3052086,3
875,1987863,4
877,1666874,1
877,3270990,2
877,86381,3
877,173542,4
881,458838,1
881,2662703,2
881,2246483,3
881,536249,4
883,1170286,1
883,1681633,2
883,3606372,3
883,3052277,4
885,3087262,1
885,99281,2
885,3810965,3
885,103604,4
886,3087262,1
886,1772929,2
886,3460579,3
886,638684,4
887,2196040,1
887,3480810,2
887,2652691,3
887,967013,4
888,2196040,1
888,3194046,2
888,463400,3
888,3616232,4
889,772176,1
889,2796568,2
889,452102,3
889,1153249,4
890,259416,1
890,2662703,2
890,471233,3
890,3908057,4
892,862935,1
892,3656931,2
892,1454680,3
892,3251293,4
894,3421698,1
894,498608,2
894,1313494,3
894,1863519,4
895,862935,1
895,3087262,2
895,1463258,3
895,433627,4
896,233547,1
896,2662703,2
896,971395,3
896,1866247,4
898,3087262,1
898,941618,2
898,1007870,3
898,1044784,4
899,233547,1
899,3087262,2
899,1005017,3
899,922757,4
900,1764842,1
900,3087262,2
900,32608,3
900,1830568,4
902,2990818,1
902,3485054,2
902,2612482,3
902,2705829,4
904,1554056,1
904,3487901,2
904,3274318,3
904,3200097,4
905,1687793,1
905,1341452,2
905,3066709,3
905,237367,4
907,471233,1
907,2801430,2
907,3427296,3
907,3890496,4
908,622086,1
908,1351563,2
908,2231987,3
908,1915195,4
910,2843450,1
910,2646056,2
910,2014318,3
910,3105607,4
912,1700820,1
912,2959608,2
912,2014318,3
912,2590435,4
913,1482199,1
913,2846857,2
913,1438782,3
913,2014318,4
914,862935,1
914,2662703,2
914,1866247,3
914,332192,4
915,2662703,1
915,1764842,2
915,397747,3
915,359599,4
917,862935,1
917,3194046,2
917,3251293,3
917,2472273,4
918,2309938,1
918,2658990,2
918,3798602,3
918,2257406,4
920,2986974,1
920,606630,2
920,2787525,3
920,1373718,4
921,458838,1
921,3087262,2
921,402627,3
921,1489159,4
922,2750684,1
922,402627,2
922,1126538,3
922,3007701,4
926,3814540,1
926,67709,2
926,2435273,3
926,1837965,4
928,445754,1
928,3932058,2
928,1018630,3
928,1023614,4
929,99281,1
929,3628194,2
929,1018630,3
929,1907979,4
930,3300335,1
930,186745,2
930,2176142,3
930,273837,4
931,1830431,1
931,3300335,2
931,2701192,3
931,3525433,4
932,3798602,1
932,1031001,2
932,546933,3
932,2625836,4
933,3068138,1
933,546933,2
933,1456129,3
933,1066744,4
935,862935,1
935,3648627,2
935,177908,3
935,1351321,4
937,2196040,1
937,3597115,2
937,150828,3
937,1554056,4
938,2608493,1
938,2196040,2
938,1866247,3
938,89493,4
939,3087282,1
939,862935,2
939,1978755,3
939,373754,4
940,2899572,1
940,862935,2
940,2688711,3
940,300477,4
943,1023781,1
943,2843450,2
943,2857391,3
943,3159137,4
948,2433900,1
948,3648266,2
948,350716,3
948,326292,4
952,1116865,1
952,3486123,2
952,932448,3
952,2905882,4
954,233547,1
954,3163658,2
954,3300179,3
954,1586789,4
955,3798602,1
955,1649115,2
955,1066744,3
955,360359,4
957,458838,1
957,3754849,2
957,89493,3
957,273070,4
958,259416,1
958,3045378,2
958,3248644,3
958,333592,4
966,988997,1
966,926643,2
966,74198,3
966,1789410,4
969,515252,1
969,3517312,2
969,2860989,3
969,1198554,4
973,2354209,1
973,3087141,2
973,71067,3
973,875144,4
974,942804,1
974,3619702,2
974,1056984,3
974,1639373,4
976,281291,1
976,736559,2
976,1917745,3
976,778088,4
977,74174,1
977,2082212,2
977,2324717,3
977,226809,4
978,2476829,1
978,566748,2
978,2015141,3
978,2411110,4
981,24491,1
981,489288,2
981,515252,3
981,3073764,4
985,863219,1
985,906691,2
985,3520350,3
985,1590962,4
987,674854,1
987,1668315,2
987,2068432,3
987,3214506,4
991,32608,1
991,1537592,2
991,1811872,3
991,3609724,4
993,3077200,1
993,197946,2
993,3566007,3
993,1492295,4
994,3378648,1
994,1744711,2
994,2522255,3
994,452403,4
996,3407642,1
996,3932391,1
996,645417,2
996,1409563,3
996,3497616,4
997,35027,1
997,195113,2
997,402541,3
997,2782698,4
999,1543857,1
999,3378648,2
999,1388569,3
999,3443523,4
1000,3407642,1
1000,1116638,2
1000,3572419,3
1000,1485849,4
1002,1315857,1
1002,605691,2
1002,1327757,3
1002,2520770,4
1003,832213,1
1003,2972754,2
1003,517208,3
1003,1348940,4
1004,3927946,1
1004,2614769,2
1004,2941402,3
1004,2894080,4
1005,326318,1
1005,1007871,2
1005,712104,3
1005,2416758,4
1009,470697,1
1009,755967,2
1009,3360805,3
1009,2131839,4
1010,2593221,1
1010,2356920,2
1010,2299478,3
1010,3157190,4
1012,3596249,1
1012,509353,2
1012,1957688,3
1012,320560,4
1013,3254257,1
1013,2299478,2
1013,1485849,3
1013,1076441,4
1014,2648733,1
1014,2506924,2
1014,955177,3
1014,1007871,4
1016,2223897,1
1016,3922726,2
1016,2496883,3
1016,1779350,4
1018,2476829,1
1018,2650662,2
1018,2373762,3
1018,830530,4
1020,3641958,1
1020,3820374,2
1020,565494,3
1020,1349118,4
1023,2165242,1
1023,3299281,2
1023,2680988,3
1023,3647686,4
1024,680072,1
