tagId,tag
416,"funniest movies"
417,funny
418,"funny as hell"
419,future
420,futuristic
421,gambling
422,gangs
424,gangsters
425,gay
427,geek
428,geeks
431,genocide
433,german
435,ghosts
439,"girlie movie"
440,glbt
442,god
443,"golden palm"
445,good
450,"good romantic comedies"
455,goofy
456,gore
458,gory
460,gothic
462,"graphic novel"
464,great
466,"great cinematography"
469,"great movie"
470,"great music"
471,"great soundtrack"
475,gritty
479,"guilty pleasure"
482,guns
484,hackers
485,hacking
489,"hannibal lecter"
492,"harry potter"
496,heartbreaking
497,heartwarming
498,heist
501,"heroine in tight suit"
503,"high school"
505,hilarious
507,"hip hop"
508,historical
509,history
515,holocaust
518,homosexuality
521,horrible
522,horror
523,horses
527,humanity
528,humor
529,humorous
533,idiotic
534,"imaginary friend"
535,imagination
536,"imdb top 250"
537,immigrants
541,india
543,indians
544,indie
548,inspirational
550,intellectual
553,intense
554,interesting
556,"interracial romance"
557,intimate
561,"iraq war"
562,ireland
563,irish
566,irreverent
568,island
572,italy
573,"james bond"
574,"jane austen"
575,japan
576,japanese
577,"jay and silent bob"
582,journalism
586,"kick-butt women"
587,kidnapping
588,kids
594,lame
595,"las vegas"
598,lawyers
599,lesbian
600,life
601,"life & death"
603,light
605,"literary adaptation"
606,literature
608,london
612,"los angeles"
613,love
614,"love story"
615,"love triangles"
618,lyrical
623,magic
629,marriage
631,"martial arts"
632,marvel
634,masterpiece
638,medieval
639,meditative
640,melancholic
642,memory
643,"memory loss"
644,"mental hospital"
645,"mental illness"
647,metaphysics
649,"middle east"
652,mindfuck
659,mockumentary
661,money
663,monster
664,monsters
671,"mother-son relationship"
672,motorcycle
673,"mountain climbing"
674,"movie business"
675,"movielens top pick"
676,moving
680,mummy
682,murder
684,music
685,"music business"
686,musical
687,musicians
688,mutants
689,mystery
691,narrated
701,nerds
704,"new york"
705,"new york city"
706,"new zealand"
709,"no plot"
715,nonlinear
717,nostalgic
718,"not as good as the first"
719,"not funny"
720,"notable nudity"
721,"notable soundtrack"
722,nuclear
725,nudity
726,"nudity (full frontal - brief)"
727,"nudity (full frontal - notable)"
728,"nudity (full frontal)"
729,"nudity (rear)"
730,"nudity (topless - brief)"
731,"nudity (topless - notable)"
732,"nudity (topless)"
733,obsession
734,ocean
735,"off-beat comedy"
741,"organized crime"
743,"original plot"
745,oscar
746,"oscar (best actor)"
747,"oscar (best actress)"
748,"oscar (best animated feature)"
749,"oscar (best cinematography)"
753,"oscar (best foreign language film)"
754,"oscar (best music - original score)"
755,"oscar (best music - original song)"
756,"oscar (best picture)"
758,"oscar (best supporting actor)"
759,"oscar (best supporting actress)"
760,"oscar (best writing - screenplay written directly for the screen)"
761,"oscar winner"
762,"over the top"
763,overrated
767,paranoid
770,parody
771,passionate
774,"period piece"
775,"peter pan"
776,pg
777,pg-13
778,"philip k. dick"
780,philosophy
781,photographer
782,photography
784,pirates
785,pixar
786,"pixar animation"
788,"plot holes"
789,"plot twist"
792,pointless
793,poker
795,police
798,political
800,politics
801,pornography
802,"post apocalyptic"
806,"powerful ending"
807,predictable
808,pregnancy
809,prejudice
811,president
812,pretentious
813,prison
818,propaganda
819,prostitution
821,psychiatrist
823,psychological
824,psychology
827,puppets
828,queer
829,quirky
832,race
835,racism
840,realistic
842,"reality tv"
844,redemption
845,reflective
846,relationships
847,religion
849,remake
850,revenge
852,ridiculous
855,"road trip"
857,robbery
861,robots
862,"rock and roll"
863,romance
864,romantic
865,"romantic comedy"
871,sad
872,"sad but good"
874,"san francisco"
875,sappy
877,satire
878,satirical
881,"saturn award (best special effects)"
882,scary
883,scenic
884,schizophrenia
885,school
886,"sci fi"
887,sci-fi
888,science
889,"science fiction"
892,scotland
900,sentimental
901,sequel
903,"serial killer"
904,series
905,sex
909,sexuality
910,"sexualized violence"
911,sexy
913,shallow
914,shark
919,silly
926,slapstick
927,slasher
929,slow
935,soccer
936,"social commentary"
938,"sophia coppola"
942,space
946,"spaghetti western"
950,special
951,"special effects"
952,"spelling bee"
954,spielberg
958,spoof
959,sports
961,spying
964,"star trek"
965,"star wars"
966,steampunk
968,"stoner movie"
974,strange
978,stupid
979,"stupid as hell"
980,stupidity
982,stylized
983,submarine
984,suburbia
986,"suicide attempt"
987,"super hero"
988,super-hero
989,superhero
991,supernatural
992,"suprisingly clever"
994,"surprise ending"
995,surreal
996,surrealism
998,survival
999,suspense
1001,swashbuckler
1003,sweet
1004,"switching places"
1007,"talking animals"
1008,talky
1009,tarantino
1011,"tear jerker"
1013,teen
1014,"teen movie"
1016,teenagers
1017,teens
1019,television
1020,tense
1021,"terminal illness"
1022,terrorism
1024,thought-provoking
1025,thriller
1028,"time travel"
1029,tokyo
1032,"too long"
1034,torture
1035,touching
1037,tragedy
1039,trains
1040,transformation
1043,treasure
1044,"treasure hunt"
1047,"true story"
1050,"twist ending"
1054,underrated
1058,"unintentionally funny"
1059,unique
1062,"unlikely friendships"
1065,"us history"
1067,vampire
1069,vampires
1071,"very funny"
1072,"very good"
1073,"very interesting"
1074,"video game"
1075,"video game adaptation"
1076,"video games"
1080,"vietnam war"
1081,"view askew"
1084,violence
1085,violent
1087,"virtual reality"
1088,virus
1089,visceral
1091,"visually appealing"
1096,war
1097,"war movie"
1099,"waste of time"
1100,"watch the credits"
1102,wedding
1103,weed
1104,weird
1106,werewolves
1107,western
1108,whimsical
1110,wine
1111,wistful
1112,witch
1114,witty
1115,wizards
1116,women
1117,"working class"
1118,workplace
1121,"world war ii"
1125,wuxia
1126,wwii
1127,zombie
1128,zombies
2001,ryan
2002,R
2003,"Johnny Depp"
2004,"buddy comedy"
2005,"strangely compelling"
2006,catastrophe
2007,"comedy of manners"
2008,"product placement"
2009,"The Director Should be given a grammy"
2010,"Ralph Fiennes"
2011,"Winona Ryder"
2012,"Mel Gibson"
2013,"Quinten Tarantino"
2014,"Robert De Niro"
2015,"Tom Hanks"
2016,"Bond James Bond"
2017,"John Candy"
2018,"want to own"
2019,Hitchcock
2020,"Alfred Hitchcock"
2021,dinosaur
2022,"Arnold Schwarzenegger"
2023,Fate
2024,stalker
2025,robbers
2026,stories
2027,government
2028,USA
2029,"imdb bottom 100"
2030,Colorado
2031,texas
2032,strippers
2033,"Dean Koontz"
2034,biology
2035,Egypt
2036,desert
2037,jazz
2038,mountains
2039,Arizona
2040,incest
2041,Batman
2042,claymation
2043,"Charles Dickens"
2044,"elementary school"
2045,"Ernest Hemingway"
2046,"John Steinbeck"
2047,shipwreck
2048,quotable
2049,"Oscar (Best Documentary Feature)"
2050,"small town"
2051,"far future"
2052,"Robert Heinlein"
2053,"school drama"
2054,nocturnal
2055,Shakespeare
2056,"Ray Bradbury"
2057,"S.E. Hinton"
2058,"E.B. White"
2059,deafness
2060,brutal
2061,utopia
2062,Cuba
2063,twins
2064,"J.M. Barrie"
2065,"Holy Grail"
2066,Alaska
2067,rape
2068,toys
2069,"Isaac Asimov"
2070,"National Lampoon"
2071,"stock market"
2072,"Stephen King"
2073,"Tennessee Williams"
2074,"Jerome Bixby"
2075,"H.P. Lovecraft"
2076,military
2077,Hawaii
2078,"H.G. Wells"
2079,remade
2080,fraternity
2081,"Child as Adult"
2082,"Alfred P. Sloan Feature Film Prize"
2083,monkey
2084,Venice
2085,"based on a poem"
2086,broadway
2087,"South America"
2088,black
2089,"figure skating"
2090,Chicago
2091,"South Africa"
2092,"mistaken identity"
2093,environment
2094,"country music"
2095,"rhythm & blues"
2096,"sequels filmed simultaneously"
2097,"Neil Gaiman"
2098,Mormon
2099,Manitoba
2100,"Chuck Palahniuk"
2101,"ass to ass"
2102,"bad ending"
2103,"sci-fi comedy"
2104,"high fantasy"
2105,"not to be taken seriously"
2106,"Peter Farrelly"
2107,"Crappy Remake"
2108,"Wallace & Gromit"
2109,scream
2110,hope
2111,blonde
2112,amusing
2113,weak
2114,"Edward Norton unbelievably good"
2115,"Dr House with more make-up"
2116,"Bit overrated"
2117,"Kate Hudson looking hot in dream scene"
2118,"Definite chick flick"
2119,"Will Ferrell"
2120,hee
2121,blah
2122,MontyPython
2123,"Long time no see"
2124,"visually stunning"
2125,"suprisingly enervating"
2126,"incredibly watchable"
2127,"Not bad sequel"
2128,"I want number 5."
2129,"Classic Bond"
2130,"highly overrated. Last ten minutes will do me fine."
2131,"Teary Eyed"
2132,"couldn't finish"
2133,"Nice effects"
2134,"superb and moving"
2135,"too short"
2136,Gershwin
2137,"Val Kilmer"
2138,"Woody Allen"
2139,Sade
2140,"space travel"
2141,TV
2142,"Tom Cruise"
2143,speed
2144,"Sylvester Stallone"
2145,"Jim Carrey"
2146,governator
2147,"available at CML"
2148,pacino
2149,"grown up"
2150,"Arma nua"
2151,ass
2152,"Tom Green"
2153,"Wesley Snipes"
2154,"Gene Wilder"
2155,"Tim Burton"
2156,thoughtful
2157,"Dustin Hoffman"
2158,"Matt Damon"
2159,"Anthony Hopkins"
2160,"Leonardo DiCaprio"
2161,"glam rock"
2162,"Nicolas Cage"
2163,twist
2164,stuttering
2165,"Samuel L. Jackson"
2166,"loved it"
2167,"Adam Sandler"
2168,threat
2169,"under water"
2170,"Based on Tom Clancy book"
2171,"good cartoon children"
2172,"May-December romance"
2173,Shakespearean
2174,"Marilyn Monroe"
2175,"strange story"
2176,"dance movie"
2177,"children's drama"
2178,4
2179,2
2180,3
2181,5
2182,"Gerard Depardieu"
2183,dancing
2184,"John Travolta"
2185,"silvester stalone"
2186,fighting
2187,"angelina jolie"
2188,"robin williams"
2189,"sean penn"
2190,digusting
2191,"king kong"
2192,"Sidney Poitier"
2193,edulcorada
2194,tierna
2195,encantadora
2196,excellent!
2197,"Team Work"
2198,"Nuclear Weapon"
2199,"anger managment"
2200,"Stabbed In The Back"
2201,"usa government"
2202,Mexico
2203,"fathers lov"
2204,"confusing plot"
2205,heroin
2206,docufiction
2207,plan
2208,"how world works"
2209,"bad idea"
2210,inrtavert
2211,"not seen"
2212,star
2213,nurse
2214,boat
2215,"not the best rocky"
2216,"AFI 100"
2217,"Emerson must see"
2218,"piper perbo"
2219,surfing
2220,divorce
2221,e
2222,c
2223,b
2224,a
2225,"children's story"
2226,"sci-fi. dark"
2227,old
2228,pink
2229,"comics based"
2230,"bit too sweet"
2231,ordinary
2232,okay
2233,"sweet story"
2234,"Very well done!"
2235,legendary
2236,"well done"
2237,"well acted"
2238,mediocre
2239,"excellent for kids"
2240,"really good"
2241,"good acting"
2242,"good for kids"
2243,"great acting"
2244,"but a good movie"
2245,"okay once"
2246,"not that good"
2247,"excellent drama"
2248,"poor plot"
2249,"Quentin Tarantino"
2250,"race issues"
2251,"polotical ira prison"
2252,"period drama"
2253,"psycho murderer"
2254,"comedy dogs dog dogshow canine"
2255,holiday
2256,gen-x
2257,cartman
2258,improvised
2259,"the american dream"
2260,B&W
2261,"Bing Crosby"
2262,"sequel fever"
2263,sleeper
2264,"Neil Simon"
2265,"Sandra Bullock"
2266,"Marx Brothers"
2267,"Roman Empire"
2268,Sequels
2269,"film noir"
2270,"family drama"
2271,"Good dialogue"
2272,"irish accent"
2273,"one of the best movies ever"
2274,"Ewan McGregor"
2275,"beauty pageant"
2276,"Male nudity"
2277,"i dont like Tom Cruise"
2278,"i don't like tom cruise"
2279,"stupid but funny"
2280,"Tom Clancy"
2281,"Carl Hiaasen"
2282,"U.S.S. Enterprise (CVN-65)"
2283,"U.S.S. Ranger (CV 61)"
2284,"U.S.S. Missouri"
2285,"Andrew Klavan"
2286,"sequel better than original"
2287,"U.S.S. Carl Vinscon (CVN-70)"
2288,"U.S.S. Abraham Lincoln (CVN 72)"
2289,Theater
2290,"wacky crime"
2291,real
2292,"great translation"
2293,"great Coen bros"
2294,"high school flic"
2295,"Kung Fu"
2296,"king arthur"
2297,frightening
2298,disgusting
2299,"unexpected classic"
2300,estereotyped
2301,"gay propaganda"
2302,fascistic
2303,"slick novel"
2304,"Slick adventure"
2305,"Grand Musical"
2306,"Dance comedy"
2307,"historical lackluster"
2308,"historical fantasy"
2309,"Rehash Sequel"
2310,"offbeat subculture detective action"
2311,"political repression"
2312,"historical epic"
2313,"sequel boredom"
2314,"slick adventure TV remake"
2315,"Slick tale"
2316,"Slick pychodrama"
2317,Horrors
2318,"Second City comedy"
2319,Paris
2320,"Robert Rodriguez"
2321,dragon
2322,jfd
2323,sdb
2324,hngj
2325,fgj
2326,sdg
2327,cottage
2328,awesome
2329,poetry
2330,"Everybody do the dinosaur"
2331,"funniest movie ever"
2332,crap
2333,terrible
2334,"oh dear"
2335,"kill me"
2336,ok
2337,"Michael Moore"
2338,turd
2339,"predictable movie"
2340,"awesome ending"
2341,beautiful
2342,legend
2343,"loved the original"
2344,"really funny"
2345,Beatles
2346,"foul language"
2347,Dani2006
2348,dani2005
2349,dani2007
2350,dani_2008
2351,90s
2352,spider
2353,"crazy guy from american pie"
2354,animals
2355,"Guillermo del Toro"
2356,punk
2357,"kevin bacon"
2358,"reese witherspoon"
2359,Southern
2360,"Ang Lee"
2361,Speilberg
2362,Demme
2363,Kubrick
2364,French
2365,Gilliam
2366,Jeunet
2367,Lucas
2368,"Mel Brooks"
2369,"Christopher Guest"
2370,"Kevin Smith"
2371,"Paul Thomas Anderson"
2372,"Wes Anderson"
2373,Kurosawa
2374,"Jerry Lewis"
2375,"Mobb Action"
2376,"FANTASY LIFE"
2377,"Action thriller"
2378,language
2379,"confused plot"
2380,"intelligent thriller"
2381,"chick flick 212"
2382,"Very Strong Language"
2383,"Slapstick crap"
2384,"good for a rainy day if there is nothing on the box"
2385,"good movie"
2386,"excellent for its time"
2387,mindblowing
2388,sucky
2390,hhgh
2391,"growing up"
2392,fgfdg
2393,ghkmghk
2394,adsadzx
2395,vbnbvn
2396,adsad
2397,uytiuyi
2398,sdzd
2399,"It was melodramatic and kind of dumb"
2400,"kind of slow"
2401,f
2402,Houston
2403,"visually interesting"
2404,watchable
2405,unbelievable
2406,"Woody Harrelson"
2407,trash
2408,immature
2409,mundane
2410,"poor dialogue"
2411,"Clint Eastwood"
2412,"funny moments"
2413,"hoolywood rubbish"
2414,"Trilogy of the Imagination"
2415,nascar
2416,beer
2417,"willem defoe"
2418,"Gregory Peck"
2419,"George Lucas"
2420,"Louisa May Alcott"
2421,"Stanley Kubrick"
2422,"Bill Murray"
2423,"Harrison Ford"
2424,"Paul Newman"
2425,"john cusack"
2426,"Tommy Lee Jones"
2427,Firefly
2428,"Truman Capote"
2429,"Maggie Gyllenhaal"
2430,"Keira Knightley"
2431,"Morgan Freeman"
2432,"jane austin"
2433,"Michael Crichton"
2435,"comic books"
2436,ambulance
2437,"BANK ROBBERY"
2438,elderly
2439,Gangster
2440,"DENIRO is outstanding"
2441,original
2442,"Loved it!"
2443,"sad. again with the dying animated animals"
2444,"not as good as other rocky films"
2445,thrilling
2446,"I love this movie"
2447,"not what it said on the tin"
2448,ROMCOM
2449,"not as good as other comic films"
2450,"Brilliant Film"
2451,"NOT AS GOOD AS HEAT"
2452,"long but fun"
2453,"good fun"
2454,Betamax
2455,"Seen 2008"
2456,"seen more than once"
2457,tacos
2458,"Wayans Brothers"
2459,"Robert Downey Jr"
2460,"Brad Pitt"
2461,"Willem Dafoe"
2462,"Monty Python"
2463,"Martin Scorsese"
2464,"Orson Welles"
2465,"Steven Spielberg"
2466,"Edward Norton"
2467,"Kevin Spacey"
2468,"Vin Diesel"
2469,"Lucy Liu"
2470,"Billy Bob Thornton"
2471,"Richard Cheese"
2472,"Charlie Kaufman"
2473,"Trey Parker"
2474,"mid-life crisis"
2475,"Jessica Biel"
2476,"Michael Keaton"
2477,"Bruce Willis"
2478,prequel
2479,"The Rock"
2480,"all about blood and gore"
2481,"Lewis Black"
2482,"Clive Owen"
2483,"dramatic irony"
2484,"Simon Pegg"
2485,"Jon Heder"
2486,post-apocalyptic
2487,"alan rickman"
2488,"ambiguous ending"
2489,"007 (series)"
2490,slash
2491,sliver
2492,sphere
2493,"dysfunctional family"
2494,"touching classic"
2495,"sappy love story"
2496,trekie
2497,"Motion Capture"
2498,"Dangerous Minds"
2499,"In the Name of the Father"
2500,"Cape Fear"
2501,"Lady and the Tramp"
2502,stoner
2503,"Russian revolution"
2504,"absolutely hilarious dark comedy"
2505,tjejfilm
2506,deckare
2507,kostym
2508,musikal
2509,"John Hughes"
2510,"Gfei own it"
2511,"want it"
2512,"malcom x"
2513,"originals are best"
2514,"wonderfully warm and amusing"
2515,"why do they make good shows into bad movies?"
2516,"great book okay movie"
2517,"good series"
2518,"stop ruining the arthur legend!"
2519,"very funny!"
2520,disaster
2521,"jim carrey as god=scary"
2522,"Not seen it"
2523,"oddly moving"
2524,inspiring
2525,"NO good"
2526,awsome
2527,revolutionary
2528,mario
2529,telekenisis
2530,"dead dude"
2531,inspire
2532,lol
2533,yell
2534,"old dudes"
2535,pervert
2536,invisible
2537,foozball
2538,"sixth sense"
2539,"little friend"
2540,game
2541,"god like"
2542,terror
2543,hostage
2544,commentary
2545,coen
2546,"natural disaster"
2547,self-aware
2548,Burton
2549,B-Movie
2550,"Excellent just excellent"
2551,annoying
2552,"The end of the solitude"
2553,"can't remember"
2554,aids
2555,"p k dick"
2556,dvd
2557,"Can't remember"
2558,Vangelis
2559,AOL
2560,disappointment
2561,train
2562,"desert island"
2563,dvd-r
2564,Linkoping
2565,"obscure sports"
2566,rural
2567,MT
2568,suicide
2569,"Hilarious!! :D"
2570,"I didn't get it."
2571,"Must see!"
2572,"Fighter that downloads music from internet right!"
2574,G
2575,"Clea DuVall"
2576,dated
2577,comic
2578,Book
2579,Stageplay
2580,"world war I"
2582,ahem...
2583,"where is the one and only kyle maclachlan?"
2584,"simply: why???"
2585,"scorsese is god but this movie really sucks"
2586,"not exactly pc"
2587,"alien series"
2588,"Gus Van Sant"
2589,"author:Stephen King"
2590,"Coen Brothers"
2591,"Ben Stiller"
2592,"M. Night Shyamalan"
2593,"Jack Black"
2594,"Shooting and shooting"
2595,plotless
2596,"documentary critique"
2597,"denzel washington"
2598,"new wave"
2599,Madness
2600,"Funny when your 10. Less funny when your not."
2601,huh?
2602,"Nine Inch Nails"
2603,"who thought this was a good idea?"
2604,"creepy good"
2605,"teen horror"
2606,"why a sequel?"
2607,"hot chicks"
2608,"not his best"
2609,"too much 80's music"
2610,"doll sex"
2611,"wonderfully dark"
2612,"lord of the ring"
2613,1
2614,9
2615,10
2616,6
2617,8
2618,7
2619,d
2620,ultraviolence
2621,"ditzy reesewitherspoon comedy"
2622,"Lars von Trier"
2623,emotional
2624,"extremely funny"
2625,"Katie Holmes"
2626,"Sean Bean dies"
2627,"cinematographer:Robert Richardson"
2628,"white squall"
2629,setting:NYC
2630,"Sean Bean lives"
2631,"setting:New Orleans"
2632,"who cares DVDs"
2633,"Joseph Ruttenberg"
2634,"cinematographer:Geoffrey Unsworth"
2635,Miami
2636,"cinematographer:Michael Chapman"
2637,"cinematographer:Gordon Willis"
2638,"cinematographer:Victor J. Kemper"
2639,"Jennifer Connelly is a fox"
2640,"cinematographer:Bojan Bazelli"
2641,"Eric's Dvds"
2642,"Makes you ill"
2643,"ADOLESCENCE IS HELL"
2644,"weirdest episode of Frasier ever"
2645,"cinematographer:John Alcott"
2646,Capra-esque
2647,"cinematographer:Jordan Cronenweth"
2648,"setting:San Francisco"
2649,"cinematographer:Jeff Cronenweth"
2650,"cameo:Martin Scorsese"
2651,"phone booth"
2652,"cinematographer:Dariusz Wolski"
2653,"As violent and retarded as Jason himself"
2654,"cinematographer:Rodrigo Prieto"
2655,cannibals
2656,"cinematographer:Phedon Papamichael"
2657,"cinematographer:Harris Savides"
2658,"sufficiently explodey to be good"
2659,"cinematographer:Roger Deakins"
2660,"Depp & Burton"
2661,"set:mechanical gearworks"
2662,bromantic
2663,4.5
2665,nerdy
2666,meaningful
2667,"Kirk Douglas"
2668,"Michael Caine"
2669,"Jerry Garcia"
2670,"Jimmy Stewart"
2671,"suspense cut"
2672,"revisionist western"
2673,refugee
2674,"slow and predictable plot"
2675,"Meg Ryan"
2676,"I despise documentaries like this."
2677,meta-indie
2678,homo-erotic
2679,Winona
2680,UK
2681,"Mike Leigh"
2682,70s
2683,scorcese
2684,oppression
2685,"artist mind"
2686,"scarlett johansson"
2687,edgy
2688,"sex addiction"
2689,"mental health"
2690,"Peter Jackson"
2691,"low budget"
2692,psichological
2693,Wow!
2695,"fast paced"
2696,"great ending"
2697,"socially relevant"
2698,Favorite
2699,"videogame like"
2700,"secret service"
2701,"Will Smith"
2702,strong
2703,shooting
2704,Harlin
2705,odysseus
2706,"freakin fabulous"
2707,fabulous
2708,classical
2709,powerful
2710,ohsoso
2711,outstanding
2712,"allmost perfect"
2713,genius
2714,pretending
2715,kumma
2717,Hmmm
2718,"rourke great"
2719,"How much killing there must be? And Giamatti as a bad guy!!! Those funny remarks??? Sideways? I hope he got the money for nothing aand the wine for nothing"
2720,"Satoshi Kon"
2721,"Stato di grazia"
2722,mistery
2723,"bad movie"
2724,"life in general"
2725,cloning
2726,"nuclear war"
2727,scifi
2728,easygoing
2729,"video game connection"
2730,"sports almanac"
2731,si-fi
2732,Russian
2733,Jenny
2734,"chris farley"
2735,Wilder
2736,"Really not that bad"
2737,abandonment
2738,"unwed mother"
2739,"More Than Once"
2740,"*Good* Musicals"
2741,"dumbest movie ever"
2742,get
2743,Mafia
2744,"A very touching movie. Great role played by Mel Gibson as William Wallace"
2745,"Probably the best sci-fi film ever made"
2746,"Exellent Movie"
2747,"by far the best pick out of the three"
2748,"just great"
2749,"Who Ya gonna call????????????"
2750,"Kevin Spacey was on a roll"
2751,"A very touching movie"
2752,"Jim Jarmusch"
2753,2006
2754,subtle
2756,"gary oldman"
2757,"tediously sacchrine"
2758,"best movie ever"
2759,"good adaptation of the book"
2761,"a favorite childhood movie"
2762,"ed norton is CUT"
2763,"well cast"
2764,"spiders :("
2765,"not as disturbing as the novel"
2766,"has Eddie Izzard"
2767,"simply awful"
2768,"at least these movies are consistent albeit awful"
2769,odd
2770,"most overrated movie ever"
2771,wierd
2773,shite
2774,"christian bale is hot"
2775,"amazing FX"
2776,"Stanley Tucci"
2777,"perfect comedy"
2778,magical
2779,TRUE
2780,"Eddie Murphy"
2781,crapflix
2782,"too slow"
2783,charming
2784,unwatchable
2785,"Woody Allen is not Dostoevsky"
2786,self-mocking
2787,sloooooow
2788,"For kids"
2789,"Not available from Netflix"
2790,Comedy??
2791,"Nonlinear Surrealism"
2792,giddyup
2793,"Fun to watch"
2794,maori
2795,"Werner Herzog"
2796,"the best movie ever made. period."
2797,"an undiscovered classic"
2798,"awful reviews...........cannot figure out why. outstanding."
2799,SUPERB
2800,"one of the greatest overlooked films"
2801,"dismissed by all. ingenious."
2802,"one of  the 10 best movies ever made."
2803,"the worst musical ever made."
2804,"DVD Collection"
2805,"DVD Colleciton"
2806,Hamlet
2807,"Jermaine Clement"
2808,Muppets
2809,Clancy
2810,meatloaf
2811,"Jean-Claude Van Damme"
2812,"Philip Seymour Hoffman"
2813,samurai
2814,"Paul Giamatti"
2815,"Steve Carell"
2816,"though slow and predictable"
2817,"beautiful concept - inept writing"
2818,"Beautiful story."
2819,"Cool but freaky"
2820,"super funney"
2821,"Potential Oscar Nom"
2822,AI
2823,"Audrey Hepburn"
2824,DIVX
2825,"Do zassania"
2826,"Do kupienia"
2827,VHS
2828,Obejrzane
2829,"do kina"
2830,"steve martin"
2831,"hugh grant"
2832,"ethan hawke"
2833,"Johnny Depp***"
2835,"jodi foster"
2836,"r. phoneix"
2837,"billy bob thorton"
2838,"not too thrilled"
2839,"cheezy to the max!"
2840,hillarious
2841,stallone
2842,"lake forest"
2843,"not worth your time"
2844,"liked the other two better"
2845,"must see"
2846,"joseph fiennes"
2847,controversial
2848,"tim robbins"
2850,"renee z"
2851,witty!
2852,"keanu reeves"
2853,"thora birch"
2854,"jakie chan"
2855,"Gwenth Paltrow"
2856,nair
2857,"tobey maguire"
2858,"mike myers"
2859,moore
2860,"collin farrel"
2861,"I loved it! Seen it five times already!"
2862,"Benicio Del Toro"
2863,"the best comic adaptation!"
2864,underappreciated
2865,"tarantino is god"
2866,"creepy goodness"
2867,"animated classic"
2868,"iggy pop!!!"
2869,"twisted genius"
2870,perfect
2871,"bettie davis rules"
2872,"viva violence"
2873,"best of the originals"
2874,"scary as hell"
2875,"as funny as humanly possible"
2876,hysterical
2877,"classic western"
2878,"great cast"
2879,"classic performance"
2880,"good not great"
2881,"drug fun"
2882,"close to perfect"
2883,"obscenely funny"
2884,"love letter to rock"
2885,evil
2886,offensive
2887,"katie holmes should retire"
2888,"awful adaptation"
2889,"pretty but pointless"
2890,"too many dogs"
2891,"great cast awful movie"
2892,"end the nightmare"
2893,"stupid dance movie"
2894,"disturbing in a bad way"
2895,moronic
2896,"lame sequel"
2897,"violently stupid"
2898,"may cause brain tumors"
2899,"why god why"
2900,"the original was bad enough"
2901,dull
2902,"evil sequel"
2903,"crap horror"
2904,"poor kids"
2905,"tragically bad"
2906,"modern classic"
2907,"great remake"
2908,"flawed but worthwhile"
2909,twisted
2910,"great action and tear jeker"
